Lateinisches Wort,Formen,Übersetzung,Zahl
vulnus,vulneris n,die Wunde,39
parva voce,-,mit leiser Stimme,9
magna voce,-,mit lauter Stimme,9
vox,vocis f,"die Stimme, das Wort",9
vos,-,ihr,13
voluptas,voluptatis f,"die Lust, das Vergnügen",42
voluptas,voluptatis f,"die Lust, das Vergnügen",41
voluptas,voluptatis f,"die Lust, das Vergnügen",40
volare,-,"fliegen, eilen",25
vocare,-,rufen,3
vix,-,"kaum, mit Mühe",4
vivus,"-a, -um","lebend, lebendig, zu Lebzeiten",22
vivere,"vivo, vixi, -",leben,16
vivere,"vivo, vixi, -",leben,11
vitium,-i n,"der Fehler, das Laster, die schlechte Eigenschaft",12
vitare,-,"meiden, vermeiden",42
vitare,-,"meiden, vermeiden",41
vitare,-,"meiden, vermeiden",40
vitam eripere,(m.Dat.),"das Leben rauben, ermorden",11
vita,-ae f,"das leben, die Lebensweise",8
vis,"-, -, vim, vi, Pl. vires, virium f","die Kraft, die Gewalt, die Menge Pl. auch: die Streitkräfte",10
virtus,virtutis f,"die Tugend, die Tapferkeit, die Tüchtigkeit, Pl. die guten Taten, die guten Eigenschaften",12
virgo,virginis f,"die junge Frau, das Mädchen",29
vir,viri m,der Mann,8
vinum,-i n,der Wein,6
vindicare,-,"beanspruchen, befreien, bestrafen",27
in vincula dare,-,"fesseln, in Fesseln legen",23
vinculum,-i n,die Fessel,23
vincere,"vinco, vici, victum","siegen, besiegen",15
vincere,"vinco, vici, victum","siegen, besiegen",6
villa,-ae f,"die Villa, das Landhaus",16
vilis,vile,"gering, wertlos",40
videri,"videor, visus sum",scheinen,33
videri,"videor, visus sum",scheinen,32
videri,"videor, visus sum",scheinen,31
videre,"video, vidi, visum",sehen,14
videre,"video, vidi, visum",sehen,2
vicus,-i m,"das Dorf, die Gasse",4
victoria,-ae f,der Sieg,24
victor,victoris m,der Sieger,20
viam facere,-,einen Weg bahnen,10
via,-ae f,"der Weg, die Straße",4
vetare,"veto, vetui, vetitum",verbieten,26
vestem gerere,-,ein Kleidungsstück tragen,18
vestis,vestis f,"das Kleid, die Kleidung",9
vester,"vestra, vestrum",euer,16
verum dicere,-,die Wahrheit sagen,9
verus,"-a, -um","echt, richtig, wahr",9
verum,-,"aber, sondern",35
vertere,"verto, verti, versum","drehen, wenden",20
versari,"versor, versatus sum (in m.Abl.)","sich aufhalten, sich befinden (in), sich beschäftigen (mit)",32
vero,-,"wirklich, aber, jawohl",20
verba facere,-,"sprechen, reden",10
verbum,-i n,das Wort,1
ventus,-i m,der Wind,26
venire,"venio, veni, ventum",kommen,25
venire,"venio, veni, ventum",kommen,14
venire,"venio, veni, ventum",kommen,1
veniam rogare,-,um Verzeihung bitten,2
venia,-ae f,"die Nachsicht, die Verzeihung",2
velut,-,"wie, wie zum Beispiel",13
velum,-i n,"das Tuch, das Segel, der Vorhang",37
velle,"volo, volui, -",wollen,17
vel,-,oder,20
vehi,"vehor, vectus sum",(selbst) fahren,34
vehemens,Gen. vehementis,"heftig, nachdrücklich, energisch",10
vastare,-,verwüsten,31
vallum,-i n,der Wall,33
vale!/valete!,-,lebe wohl!/lebt wohl!,20
valere,-,"gesund sein, gelten, Einfluss haben",20
valde,-,sehr,11
vacare,(m.Abl.),"leer sein, frei sein (von), ohne (etwas) sein, (etwas) entbehren",6
uxorem ducere,-,(eine Frau) heiraten,17
uxor,uxoris f,die Ehefrau,5
uva,-ae f,die Traube,38
utinam,-,"(erfüllbar) hoffentlich, (unerfüllbar) wenn doch",36
uti,"utor, usus sum (m.Abl.)","gebrauchen, benutzen",32
uterque,"utraque, utrumque, Gen. utriusque, Dat. utrique","jeder von beiden, beide",39
uterque,"utraque, utrumque, Gen. utriusque, Dat. utrique","jeder von beiden, beide",38
uterque,"utraque, utrumque, Gen. utriusque, Dat. utrique","jeder von beiden, beide",37
